
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新游戏
soundeditor_looptitle                   循环类型
soundeditor_sourcetypetitle             声音类型
soundeditor_soundnametitle              声音名称

soundeditor_volumetitle                 音量
soundeditor_frequencytitle              频率
soundeditor_mindistancetitle            最小距离
soundeditor_attacktitle                 攻击
soundeditor_sustaintitle                维持
soundeditor_releasetitle                释放
soundeditor_loopdelaytitle              循环延迟
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              下一事件

soundeditor_play                        开始游戏
soundeditor_stop                        停止

soundparametereditor_title              声音参数
soundparametereditor_typetitle          类型
soundparametereditor_linktitle          连接到
soundparametereditor_updatetitle        更新类型
soundparametereditor_smoothing          平滑
soundparametereditor_chaintitle         连锁

soundeditor_newdsp                      添加DSP
sounddspeditor_title                    DSP编辑器
samplebankeditor_title                  样品库编辑器
samplebankeditor_addsample              添加声音
samplebank                              (样品库)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            完成
interfacemode_destroy                         销毁
interfacemode_foundations                     地基
interfacemode_construction                    建材
interfacemode_planning                        规划
interfacemode_objects                         物件
interfacemode_designation                     房间
interfacemode_utilities                       设施
interfacemode_staff                           员工
interfacemode_deployment                      部署
interfacemode_logistics                       后勤
interfacemode_prisoners                       囚犯
interfacemode_needs                           需求
interfacemode_threats                         威胁
interfacemode_overlays                        图层
interfacemode_research                        行政
interfacemode_emergencies                     紧急
interfacemode_clone                           克隆
interfacemode_contraband                      情报
interfacemode_grading                         评价
interfacemode_spawn                           （重生）
interfacemode_properties                      （属性）
interfacemode_cutscenes                       （过场）
interfacemode_selection                       选择

interfaceoverlay_security                       保安
interfaceoverlay_patrols                        巡逻
interfaceoverlay_decay                          腐烂
interfaceoverlay_territory                      领土
interfaceoverlay_contraband                     违禁品

interfaceproperty_indoor                        室内
interfaceproperty_visible                       可见
interfaceproperty_territoryprisoner             帮派
interfaceproperty_territoryguard                警卫
interfaceproperty_sectorprisoner                暴动
interfaceproperty_tunnel                        地道

interfacedeployment_guards                      警卫
interfacedeployment_patrols                     警卫巡逻
interfacedeployment_dogpatrols                  警犬巡逻
interfacedeployment_armedpatrols                武装巡逻
interfacedeployment_removeguards                移除警卫
interfacedeployment_clearpatrols                移除巡逻路线
interfacedeployment_targetting                  后勤
interfacedeployment_targettingfood              食物后勤
interfacedeployment_targettinglaundry           衣物后勤
interfacedeployment_securearea                  安全区域
interfacedeployment_sharedzone                  公共区域
interfacedeployment_staffonlyzone               员工专区
interfacedeployment_maxseczone                  重刑犯专区
interfacedeployment_medseczone                  普通犯专区
interfacedeployment_minseczone                  轻刑犯专区
interfacedeployment_protectedzone               保护收容专区
interfacedeployment_supermaxzone                超重刑犯专区
interfacedeployment_deathrowzone                死刑犯专区
interfacedeployment_unlockedzone                不上锁区域
interfacedeployment_zonered                     红色区域
interfacedeployment_zonegreen                   绿色区域
interfacedeployment_zoneblue                    蓝色区域
interfacedeployment_zoneyellow                  黄色区域

interfacelogistics_jobs                         监狱劳动
interfacelogistics_removejobs                   移除劳动名额
interfacelogistics_targettingfood               食物分配
interfacelogistics_targettinglaundry            衣物分配
interfacelogistics_roomquality                  房间品质

interfaceplanning_wall                          墙
interfaceplanning_object                        物体
interfaceplanning_route                         道路
interfaceplanning_clear                         清空

interfacecontraband_source                      危险
interfacecontraband_day                         -24小时
interfacecontraband_week                        -7天
interfacecontraband_alltime                     -30天
interfacecontraband_informants                  告密者
interfacecontraband_gangs                       帮派

interfaceclone_copy                             复制
interfaceclone_paste                            粘贴

interfacetopbar_todo                            待办事项
interfacetopbar_balance                         存款 *B
interfacetopbar_budget                          资金流动 *C
interfacetopbar_income                          收入 *I
interfacetopbar_expenses                        支出 *C
interfacetopbar_day                             第 *D 天

interfacetopbar_title_balance                   银行存款
interfacetopbar_title_budget                    每日资金流动
interfacetopbar_title_cctv                      监控摄像头
interfacetopbar_title_day                       天数
interfacetopbar_title_prisoners                 囚犯
interfacetopbar_title_guards                    警卫
interfacetopbar_title_tension                   危险等级

interfacetopbar_tooltip_balance                 银行内的存款金额。\n\n点击补助清单以获得更多资金。
interfacetopbar_tooltip_budget                  根据目前支出和收入所算出每天监狱能获取的金额。\n\n点击进入详细的收支清单。
interfacetopbar_tooltip_cctv                    目前拥有的监控摄像头与监视器数量。
interfacetopbar_tooltip_day                     经营监狱的时间。
interfacetopbar_tooltip_prisoners               目前拥有的监狱数量以及可容纳犯人数。
interfacetopbar_tooltip_guards                  监狱中空闲的警卫数量
interfacetopbar_tooltip_tension                 看守长报告的监狱整体风险等级。

interfacetopbar_tooltip_recenttransactions      最近的交易记录

interfacetopbar_tooltip_gametime                游戏时间总计: *X小时, *Y分钟, *Z秒

interfacetopbar_tooltip_totalguards             共计 *X 名警卫
interfacetopbar_tooltip_guardincapacitated      *X 名无法行动
interfacetopbar_tooltip_guardstationed          *X 名站岗中
interfacetopbar_tooltip_guardpatrolling         *X 名巡逻中
interfacetopbar_tooltip_guardavailable          *X 名空闲中
interfacetopbar_tooltip_guardresting            *X 名休息中
interfacetopbar_tooltip_guardactive             （*X 名行动中）
interfacetopbar_tooltip_guarddoingjob           （*X 名正在进行任务）
interfacetopbar_tooltip_idle                    （*X 空闲）
interfacetopbar_tooltip_armedguards             + *X 武装警卫
interfacetopbar_tooltip_dogs                    + *X 警犬员

interfacetopbar_unlimitedfunds                  无限资金

interfacetopbar_budget_moneyin                  收入: $*M /天
interfacetopbar_budget_moneyout                 支出: $*M /天
interfacetopbar_budget_cantgonegative           在聘请会计师管理监狱财务之前，资金流动不可为负的 (也就是支出大于收入) 。

interfacetopbar_prisoners_types                 目前容纳 *X 名囚犯：
interfacetopbar_prisoners_capacity              最大安全容纳：*X
interfacetopbar_prisonercells_shared            多人牢房容量：*X
interfacetopbar_prisonercells_unlocked          未上锁牢房容量：*X
interfacetopbar_prisonercells_minseconly        轻刑犯专区容量：*X
interfacetopbar_prisonercells_medseconly        普通犯专区容量：*X
interfacetopbar_prisonercells_maxseconly        重刑犯专区容量：*X
interfacetopbar_prisonercells_protectedonly     保护收容专区容量：*X
interfacetopbar_prisonercells_supermaxonly      超重刑犯专区容量：*X
interfacetopbar_prisonercells_deathrowonly      死刑犯专区容量：*X
interfacetopbar_prisonercells_staffonly         员工专区：*X

interfacetopbar_cctv_current                    目前有 *C 个摄像头在工作
interfacetopbar_cctv_cap                        还可安装 *C 个摄像头

interfacetopbar_tension_currentlevel            目前危险等级为 *X
interfacetopbar_tension_increasing              且正在提高中
interfacetopbar_tension_decreasing              且正在降低中
interfacetopbar_tension_description             潜在危险因素：
interfacetopbar_tension_happyprisoners          - *X 名囚犯表示受到良好的对待
interfacetopbar_tension_unhappyprisoners        + *X 名囚犯正在严重的抱怨
interfacetopbar_tension_lockedupprisoners       + *X 名囚犯正在自己的牢房或禁闭室禁足中
interfacetopbar_tension_riotingprisoners        + *X 名囚犯正在暴动
interfacetopbar_tension_wellfedprisoners        - *X 名囚犯觉得满足
interfacetopbar_tension_suppressedprisoners     = *X 名囚犯受压抑(报怨)
interfacetopbar_tension_activeriotguards        + *X 名防暴警察正在现场
interfacetopbar_tension_activearmedguards       + *X 名武装警卫执勤中
interfacetopbar_tension_recentdeaths            + *X 个人最近被杀了
interfacetopbar_tension_recentsearches          + *X 名囚犯最近被无故搜身
interfacetopbar_tension_angrygangmembers        + *X 名帮派成员非常愤怒（领袖被惩罚）
interfacetopbar_tension_recentpunishments       = (镇压) 近期执行了 *X 项处罚
interfacetopbar_tension_recentcalmed            -*X 个囚犯最近被安抚过

interfacecontrol_mainmenu                       主菜单（Esc）
interfacecontrol_mainmenu_tooltip               开启主菜单（新游戏/读取/存档/退出 等）
interfacecontrol_todo                           待办清单
interfacecontrol_todo_tooltip                   切换显示待办清单
interfacecontrol_research                       行政系统
interfacecontrol_research_tooltip               打开行政系统窗口，你可以在这里任命管理层以解锁新的物品、员工类型及设施。
interfacecontrol_grading                        监狱评估
interfacecontrol_grading_tooltip                打开监狱评估窗口，你可以在这里看到对监狱运作情况的综合评分。

interface_confirmlandbuy                        你确定要花 $*X 购买这块土地吗？
interface_loadconfirm                           你确定要读取这张地图？所有未保存的进度将会丢失
interface_saveconfirm                           你确定要使用这个文件名储存吗？已有信息将被覆盖。

interface_landbuylabel                          *Xm x *Ym。总面积 *A 平方米。 *C

interface_action_dismantle                      拆除
interface_action_dump                           丢弃
interface_action_repair                         维修
interface_action_medicalbay                     医务室
interface_action_search                         搜索
interface_action_searchcell                     搜索牢房
interface_action_searchcellblock                搜索牢房区
interface_action_sack                           解雇
interface_action_doormodenormal                 门禁模式：正常
interface_action_doormodelockedshut             门禁模式：保持关闭
interface_action_doormodelockedopen             门禁模式：保持打开
interface_action_switchon                       开启
interface_action_switchoff                      关闭
interface_action_sellobject                     出售物品
interface_action_dismiss                        解雇
interface_action_connect                        连接
interface_action_clearconnections               清除连接
interface_action_servoopen                      触发时开启
interface_action_servoclose                     触发时关闭

interface_contents_container                    内容: *X
interface_contents_stack                        内容: *X x *Y

interface_skip                                  跳过

interface_foundationsinprogress                 地基建设中
riot_underway                                   发生暴动
riot_status_prisoners                           *X 名囚犯发生暴动
shakedown_underway                              搜查进行中
shakedown_found                                 查获：

gameover_caption                                按 ESC 键继续

sector_jobs_max                                 工作名额上限 *X
sector_jobs_qualified                           受训合格囚犯： *X
sector_jobs_required                            （需要: *X）
sector_noaccess                                 无法访问
sector_insecure                                 不安全

patrol_assign_1                                 安排警卫巡逻：
patrol_assign_2                                 请点选已规划好的巡逻路线


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title                   硬件兼容性测试
hardware_compat_message                 在你的许可下，我们将从你的电脑中收集下列硬件数据。\n\n这些信息完全匿名并将帮助我们确保监狱建筑师在最广泛的电脑硬件上运行。\n\n谢谢！
hardware_compat_accept                  接受
hardware_compat_decline                 拒绝

connectionmenu_connect                  连接
connectionmenu_disconnect               断开连接
connectionmenu_clear                    清空
connectionmenu_done                     完成


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      建造
buildtoolbar_reports                    监狱报告
buildtoolbar_bangup                     全体回房
buildtoolbar_lockdown                   全面封锁
buildtoolbar_shakedown                  全部搜查
buildtoolbar_weaponsfree                自由开火

buildtoolbar_tooltip_reports            打开报告窗口，查看有关你的囚犯、员工、收入、政府补助等信息
buildtoolbar_tooltip_bangup             将所有（愿意的）囚犯送回他们牢房，如果关太长时间则会引起不满
buildtoolbar_tooltip_lockdown           立刻锁上监狱中所有的门
buildtoolbar_tooltip_shakedown          下令立即搜索所有牢房，搜索将会花费一些时间才能完成，同时也会惹恼你的囚犯们。
buildtoolbar_tooltip_weaponsfree        授权你的武装警卫使用致命武器。

buildtoolbar_cost                       费用: $ *C
buildtoolbar_cost_sqrft                 费用: $ *C /每平方米
buildtoolbar_wages                      工资: 每天 $ *W
buildtoolbar_outdoor                    仅限室外
buildtoolbar_indoor                     仅限室内
buildtoolbar_walk_speed                 行走速度:  *S
buildtoolbar_walk_speed_slow            慢
buildtoolbar_walk_speed_norm            一般
buildtoolbar_walk_speed_fast            快
buildtoolbar_locked                     锁定
buildtoolbar_locked_research            锁定（需要行政 *B ）
buildtoolbar_locked_administrator       锁定（需要员工 *B）
buildtoolbar_room                       房间

buildtoolbar_electrical                 - 电气设备
buildtoolbar_highpower                  - 高压设备
buildtoolbar_water                      - 需要连接水管
buildtoolbar_wired                      - 需接线(连接至其他接线单元)
buildtoolbar_modcontent                 - 模组内容

buildtoolbar_popup_foundations          建造/拆除 建筑来打造你的监狱
buildtoolbar_popup_construction         不同类型的地面与墙壁
buildtoolbar_popup_planning             仅规划监狱而不进行建造
buildtoolbar_popup_designation          标出特定功能的监狱区域
buildtoolbar_popup_objects              在监狱内安装各种实用的设施
buildtoolbar_popup_overlays             显示监狱的安全弱点
buildtoolbar_popup_utilities            管道与电气系统
buildtoolbar_popup_staff                雇用人员运营你的监狱
buildtoolbar_popup_deployment           指派员工到监狱内特定区域
buildtoolbar_popup_logistics            指派囚犯在监狱内进行后勤劳动工作，并可手动指派餐厅和衣物清洗工作
buildtoolbar_popup_research             为监狱解锁更多功能。
buildtoolbar_popup_emergencies          呼叫紧急支援协助解决监狱内的恶性事件
buildtoolbar_popup_spawn                重生？这是干嘛的？
buildtoolbar_popup_clone                你可以复制和粘贴现有的建筑结构。
buildtoolbar_popup_properties           查明那该死的东西
buildtoolbar_popup_contraband           显示违禁品的来源，以及所有最近被发现的违禁品。同时显示你的秘密检举人及其情报。
buildtoolbar_popup_grading              查看你的监狱整体等级基于四个关键指标——惩罚，教化，安全，医疗，同时显示囚犯出狱后的再犯率。
buildtoolbar_popup_room_cell            囚犯生活的地方
buildtoolbar_popup_room_holdingcell     当新进囚犯还没有分配个人牢房时，会先收容在集体牢房内
buildtoolbar_popup_room_solitary        专为坏蛋中的战斗蛋设计而建的独立惩戒措施，俗称“小黑屋”
buildtoolbar_popup_room_canteen         囚犯喝下午茶的地方
buildtoolbar_popup_room_kitchen         厨师为囚犯准备食物的地方
buildtoolbar_popup_room_shower          用来让囚犯保持干净，没有虱子
buildtoolbar_popup_room_yard            在狙击塔严密的监视下，让你的囚犯每天晒晒几小时的太阳
buildtoolbar_popup_room_storage         放所有监狱员工所需的材料的区域
buildtoolbar_popup_room_deliveries      货物、材料以及囚犯下车的地点
buildtoolbar_popup_room_garbage         收集垃圾的地方
buildtoolbar_popup_room_execution       处死囚犯的地方
buildtoolbar_popup_room_workshop        派囚犯制造汽车牌照，无聊到死的地方
buildtoolbar_popup_room_security        警卫的办公室
buildtoolbar_popup_room_office          行政人员工作的区域
buildtoolbar_popup_room_medicalward     医护人员工作的区域
buildtoolbar_popup_room_morgue          死掉的囚犯和员工会送到这裡
buildtoolbar_popup_room_commonroom      囚犯在自由活动时间可以休息的地方
buildtoolbar_popup_room_kennel          警犬住的地方
buildtoolbar_popup_room_chapel          当委员会聚在一起讨论设计如何处理囚犯们的宗教需求时会怎样？一个“多信仰祷告室”诞生了。我们管这种东西叫小礼拜堂。
buildtoolbar_popup_room_paroleroom      当囚犯服刑期满 50% 和 75% 时，就有资格申请假释，他们的命运将会在这间房间内，由典狱长和保安队长决定。\n\n建议安排额外的警卫戒备，当犯人知道他们假释被驳回的时候通常会异常沮丧。
buildtoolbar_popup_room_library         全国各地会送一些不要的或使用过的书籍给你的监狱，囚犯要协助将书本分类并上架。
buildtoolbar_popup_room_intake          囚犯刚抵达的时候会先带到这裡。

buildtoolbar_popup_obj_bed              不会太软、也不会太硬，硬度刚刚好。嗯，事实上嘛，真的很硬又很小
buildtoolbar_popup_obj_toilet           一项基本人权，假如你相信那些狂想家
buildtoolbar_popup_obj_table            与椅子相当搭配
buildtoolbar_popup_obj_chair            与桌子是绝配
buildtoolbar_popup_obj_bench            可以坐在上面
buildtoolbar_popup_obj_electricchair    传递两千伏特的正义
buildtoolbar_popup_obj_jaildoor         把囚犯关在他们应该在的地方
buildtoolbar_popup_obj_jaildoorlarge    把很多囚犯关在他们该在的地方
buildtoolbar_popup_obj_door             一道简单的门
buildtoolbar_popup_obj_solitarydoor     极其坚固的门，即使是最强壮的犯人也撼不动它
buildtoolbar_popup_obj_staffdoor        一道上锁的大门，不只警卫能开，所有员工都能开
buildtoolbar_popup_obj_window           可以看一眼阳光
buildtoolbar_popup_obj_windowlarge      可以看很多眼阳光
buildtoolbar_popup_obj_tree             防止全球变暖人人有责
buildtoolbar_popup_obj_light            确保一整天都能看见犯人们的一举一动
buildtoolbar_popup_obj_cooker           用热腾腾的饭菜让犯人们奢侈一下吧
buildtoolbar_popup_obj_fridge           避免你的食材变质坏掉
buildtoolbar_popup_obj_bin              违禁品一定要搜剿干净
buildtoolbar_popup_obj_sink             所有的员工都必需要洗手
buildtoolbar_popup_obj_servingtable     将食物分配给犯人们
buildtoolbar_popup_obj_showerhead       淋浴用的花洒喷头
buildtoolbar_popup_obj_bookshelf        放书的架子
buildtoolbar_popup_obj_officedesk       你的员工需要记录很多东西，给一个漂亮的办公桌让他们去写吧
buildtoolbar_popup_obj_filingcabinet    你的员工需要把他们写的东西整理收好
buildtoolbar_popup_obj_medicalbed       在这些麻醉药品被犯人偷走之前，它们都会呆在这里
buildtoolbar_popup_obj_morgueslab       在灵车来之前请确保死者有地方安息
buildtoolbar_popup_obj_drain            避免地板上产生积水
buildtoolbar_popup_obj_sprinkler        发生火灾时自动喷水
buildtoolbar_popup_obj_metaldetector    藏有违禁品的囚犯路过时会被探测出来，但仍需要在附近安排警卫才能没收违禁品
buildtoolbar_popup_obj_weightsbench     允许犯人们锻炼、活动，令他们保持愉悦心情
buildtoolbar_popup_obj_phonebooth       这些电话可以让犯人和他们的家属通话
buildtoolbar_popup_obj_tv               用肥皂剧安抚犯人们躁动的心。
buildtoolbar_popup_obj_largetv          让一堆囚犯们可以共享他们的脑残时刻
buildtoolbar_popup_obj_pooltable        玩把台球来打发监狱千篇一律的生活
buildtoolbar_popup_obj_dismantleobject  移除一个物体。
buildtoolbar_popup_obj_altar            天主与地上人民相遇的地方
buildtoolbar_popup_obj_pews             给信徒坐的座位。是用最坚硬、最致密的木头做成的。
buildtoolbar_popup_obj_prayermat        使你的犯人们在祈祷时不用跪在肮脏的地板上。

buildtoolbar_popup_staff_workman        根据你所提供的设计为你建造监狱
buildtoolbar_popup_staff_guard          帮你看管囚犯并避免他们滋事
buildtoolbar_popup_staff_armedguard     配戴散弹枪，囚犯在攻击这家伙之前一般会三思。\n\n注意：每个配备枪械的警卫都需要在军械库里拥有自己的储物柜。
buildtoolbar_popup_staff_doctor         自动治疗附近受伤的人，不管是警卫还是犯人
buildtoolbar_popup_staff_cook           准备食物并分配给你的犯人们
buildtoolbar_popup_staff_gardener       让你的监狱地面干净整洁
buildtoolbar_popup_staff_janitor        让你的监狱内部干净整洁，也可以协助监狱的洗衣服务
buildtoolbar_popup_staff_warden         你监狱的大总管，在你雇佣高级员工之前必须有一个大总管
buildtoolbar_popup_staff_chief          这个高级员工可以让你接触到部署，监视和防暴警卫相关的科研项目
buildtoolbar_popup_staff_foreman        这个高级员工可以让你雇佣清洁工和园丁
buildtoolbar_popup_staff_psychologist   一个高级员工，可以让你洞察囚犯们的心理活动
buildtoolbar_popup_staff_accountant     高级员工，可以为你撰写财务报告。
buildtoolbar_popup_staff_lawyer         高级员工，可以为你的监狱拿到一些特权。

buildtoolbar_popup_uts_powerstation     产生监狱所需要的电力
buildtoolbar_popup_uts_capacitor        建在发电站旁可以提高发电量。
buildtoolbar_popup_uts_electricalcable  为你的监狱分配电力
buildtoolbar_popup_uts_powerswitch      切换所有与它连通的电线的通电情况。\n\n右击开启/关闭通电状态。
buildtoolbar_popup_uts_waterpumpstation 为你的监狱提供水源
buildtoolbar_popup_uts_pipevalve        切换是否为所有连接的水管供水
buildtoolbar_popup_uts_pipelarge        将大量的水配送到你的监狱中，或许足够让某些人在充满臭味的水中爬行500码并获得自由
buildtoolbar_popup_uts_pipesmall        分配监狱的供水
buildtoolbar_popup_uts_cctv             不用到处安排警卫也可以监视犯人了。\n\n你需要把它连至一个CCTV监视器才能让它正常工作。
buildtoolbar_popup_uts_cctvmonitor      需要安装在警卫室并由一个警卫操作。可以遥控操作监狱各处的摄像头。\n\n注意：最多可以同时监视8个摄像头的画面。如果你连接了8个以上的摄像头，这些摄像头的画面会切换着出现，因此此时只能提供不完整的监控。
buildtoolbar_popup_uts_DoorControlSystem  设计成在警卫室里由一位警卫操控。在你所在的位置远程监控闭路电视镜头。\n\n用一个连接工具把这个系统和你的门伺服连接。门伺服应该被建在你想远程操控的门上。\n\n提示: 你可以把这个连接到任意多的伺服上，然而操作这个系统的警卫一秒最多只能开两扇门。
buildtoolbar_popup_uts_phonemonitor     需要安装在警卫室并由一个警卫操作。可以监听所有打出的电话，让你提前识破有组织的违禁行动。\n\n使用连接工具把这个系统连至电话间。
buildtoolbar_popup_uts_Servo            把一个伺服置于你想远程操控的门上。确保助推器零件直接安装在门上方。\n\n一旦安装，当伺服被触发时，门将被打开—特别被用一个控制门的系统或者一个门定时器\n\n伺服能被链接在一起，这样当第一个打开时能触发下一个。
buildtoolbar_popup_uts_LogicCircuit     只有高级建筑师。\n\n一个简单的电路盒，基于其输入，进行逻辑操作 并依此设置其输出。\n\n可行操作: And/ Or / Not / Nand / Nor / Xor\n\n右击来循环逻辑计算。
buildtoolbar_popup_uts_LogicBridge      只有高级建筑师。\n\n使用其输入信号，把它连接到安装在同一广场上的电缆。电缆将把这信号传输到安装在同一电缆上的任何其他逻辑电路。\n\n可以在全监狱用来'广播'一条普通信号,不如用于传播一条普通的时间信号。
buildtoolbar_popup_uts_DoorTimer        可用于在每天的特定时间自动开门。\n\n使用连接工具把这个计时器连接到你的门伺服。
buildtoolbar_popup_uts_Wire             连接你的远程访问系统。
buildtoolbar_popup_uts_showallwires     显示所有已连接的电缆。
buildtoolbar_popup_uts_remotedoor       无法用钥匙打开的坚固金属门(只能远程打开)。使用这个去预防当监狱使用钥匙时可能发生的大规模越狱。
buildtoolbar_popup_uts_dismantleutility 从监狱中移除一件设施
buildtoolbar_popup_uts_pressurepad      只要有东西在垫子上面，就会发送一个信号给连接物。
buildtoolbar_popup_uts_statuslight      亮起红灯或者绿灯，依据它接收到的信号。

buildtoolbar_contraband_source          显示所有违禁品可能被偷取的地点。
buildtoolbar_contraband_day             显示最近24小时没收的违禁品。
buildtoolbar_contraband_week            显示最近7天内没收的违禁品。
buildtoolbar_contraband_alltime         显示历史上所有被没收的违禁品
buildtoolbar_contraband_informants      显示你的秘密检举者所收集的情报。

job_matsassigned                        已分配的材料
job_matsavailable                       可用的材料
job_awaitingmaterials                   正在等待材料
job_inprogress                          正在进行中的工作
job_blocked                             工作（被阻挡）
job_queued                              工作（队列中）

job_failed_noroute                      无路径
job_failed_nomaterials                  无材料
job_failed_toodangerous                 太危险
job_failed_materialsbeingcarried        正在运输途中的材料

job_rightclicktocancel                  右键以取消
job_refundamount                        退款金额: *X

failuremessage_blocked                  被阻挡
failuremessage_cantafford               资金不足
failuremessage_cantaffordupkeep         超出日常预算
failuremessage_maximumcountreached      已达到最大可雇用人数
failuremessage_maxstaff                 员工太多了


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                货运区
statustoolbar_finances                  经济
statustoolbar_regime                    管理制度
statustoolbar_escapemap                 安全
statustoolbar_electricity               电力
statustoolbar_stats                     状态
statustoolbar_danger                    危险
statustoolbar_jobs                      工作
statustoolbar_gangs                     帮派
statustoolbar_staff                     员工
statustoolbar_research                  研究


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  圣灵银行编辑器
spritebankeditor_create                 创建
spritebankeditor_rotate                 旋转
spritebankeditor_sort                   分类
spritebankeditor_markermodetitle        标记模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          主菜单
codex_campaign                          战役
codex_cutscenes                         过场动画
codex_qualifications                    资格
codex_load                              载入监狱
codex_save                              保存监狱
codex_performance                       表现测试
codex_developer_load                    （开发者）加载地图
codex_developer_save                    （开发者）保存地图
codex_contacts                          联系人
codex_materials                         材料
codex_play                              开始游戏
codex_polaroids                         拍立得
codex_introduction                      介绍
codex_restartintroduction               重新开始介绍
codex_help                              帮助（维基百科）
codex_opensavefolder                    打开存档文件夹
codex_options                           选项
codex_nitgs                             游戏中的名字
codex_workshop                          分享监狱
codex_checkforupdates                   检查更新
codex_preorder                          立刻预购
codex_termsconditions                   条款声明
codex_twitter                           推特
codex_extras                            其他
codex_unlocked                          解锁 *X/*Y

codex_new                               创建新监狱
codex_new_worldsize                     世界大小
codex_new_small                         小
codex_new_medium                        中
codex_new_large                         大

codex_options_graphics                  图像
codex_options_resolution                分辨率
codex_options_resolutionauto            自动
codex_options_windowed                  窗口化
codex_options_highdpi                   高分辨率
codex_options_filtering                 过滤
codex_options_nofiltering               关闭
codex_options_multisampled              多重采样
codex_options_supersampled              超级采样

codex_options_audio                     音频
codex_options_volume                    总音量
codex_options_frequency                 混频
codex_options_swapstero                 交换立体声
codex_options_dspenabled                开启音效管理器
codex_options_11khz                     11025赫兹
codex_options_22khz                     22050赫兹
codex_options_44khz                     44100赫兹

codex_options_clocktype                 时钟类别
codex_options_clocktype_analogue        时钟
codex_options_clocktype_12h             12小时制
codex_options_clocktype_24h             24小时制

codex_options_gameplay                  游戏中的名字
codex_options_autosave                  自动保存计时
codex_options_renderrooms               房间复选框
codex_options_apply                     应用

codex_options_language                  语言

codex_enabled                           开启
codex_disabled                          关闭

codex_option_intake                     持续接收
codex_tooltip_intake                    启用后，你每天都会接收到随机数目的新囚犯。\n\n如果禁用，你可以通过点击报告书的接收栏来调整犯人的接收。
codex_option_fogofwar                   战略迷雾
codex_tooltip_fogofwar                  如果你不在监狱建筑内派遣警卫巡逻或开启监视摄像头，你将失去建筑内的视野
codex_option_lakes                      生成湖泊
codex_tooltip_lakes                     随机产生的湖泊会阻隔你地盘上的不同区域。\n\n警告：这是一个未完全开发的验证型选项
codex_option_forests                    生成森林
codex_tooltip_forests                   树木丛会出现在地图上。
codex_option_buildings                  生成建筑
codex_tooltip_buildings                 随机的遗弃建筑将出现在地图上。你可以选择利用这些建筑。
codex_option_failure                    失败条件
codex_tooltip_failure                   额外的挑战！当你把事情弄得一塌糊涂时会结束游戏。（暴乱、破产、过多的死亡及逃逸等等）
codex_option_unlimitedfunds             无限的资金
